"公司代號","公司名稱","召開法人說明會日期","召開法人說明會時間","召開法人說明會地點","法人說明會擇要訊息","法人說明會簡報內容-中文","法人說明會簡報內容-英文","公司網站是否有提供法人說明會相關資訊","影音連結資訊","其他應敘明事項","歷年法人說明會"
"1101","台泥","113/11/22","14:30","台北市中山北路2段113號3樓士敏廳","公司簡介、所屬產業概況、營運成果及未來展望說明","110120241122M001.pdf","110120241122E001.pdf","https://www.tccgroupholdings.com/tw/ir_investor-meetings.html",法說會影音連結資訊:https://media.taiwancement.com/investors/2024/2024_Q3.mp4 ,"報名網址：https://www.tccgroupholdings.com/tw/investorsSignUp.html","查詢"
"1101","台泥","113/06/04","14:00","台北君悅酒店","公司簡介、所屬產業概況、營運成果及未來展望說明","110120240604M001.pdf","110120240604E001.pdf","https://www.taiwancement.com/tw/ir_investor-meetings.html",法說會影音連結資訊:https://media.taiwancement.com/investors/2024/2024_Q2_HSBC.mp4 ,"無","查詢"
"1101","台泥","113/09/18 至 113/09/20","16:00","倫敦,法蘭克福,巴黎","公司營運簡介、ESG、公司未來展望","110120240924M001.pdf","110120240924E001.pdf","https://www.taiwancement.com/en/ir_investor-meetings.html",法說會影音連結資訊:未輸 ,"無","查詢"
"1102","亞泥","113/03/18","14:00","線上法說會","2023年第四季營運概況線上法說會","110220240318M001.pdf","110220240318E001.pdf","https://www.acc.com.tw/",中文影音檔網址:1102_101_20240318_ch.mp4 ,"請於112/03/14完成線上報名：https://lurl.cc/DDF1IG","查詢"
"1102","亞泥","113/05/16","14:00","線上法說會","2024年第一季營運概況線上法說會","110220240516M001.pdf","110220240516E001.pdf","https://www.acc.com.tw/",中文影音檔網址:1102_102_20240516_ch.mp4 ,"請於112/05/14完成線上報名：https://lurl.cc/dQBOkg","查詢"
"1102","亞泥","113/11/14","14:00","線上法說會","2024年第三季營運概況線上法說會","110220241114M001.pdf","110220241114E001.pdf","https://www.acc.com.tw/",中文影音檔網址:1102_103_20241114_ch.mp4 ,"請於113/11/12完成線上報名：https://reurl.cc/QErEro","查詢"
"1103","嘉泥","113/06/28","14:00","線上法說會","113年第一季公司營運狀況","110320240628M001.pdf","110320240628E001.pdf","https://www.chcgroup.com.tw/%e6%af%8f%e5%ad%a3%e7%87%9f%e9%81%8b-2024/",法說會影音連結資訊:https://youtu.be/-sAxYRcp9ow ,"線上法說會報名網址：https://forms.gle/n7wTLqTkexHteACaA","查詢"
"1103","嘉泥","113/03/27","14:00","線上法說會","112年第四季公司營運狀況","110320240327M001.pdf","110320240327E001.pdf","https://www.chcgroup.com.tw/%e6%af%8f%e5%ad%a3%e7%87%9f%e9%81%8b-2023/",法說會影音連結資訊:https://youtu.be/3sw0YovndRI ,"線上法說會報名網址：https://forms.gle/oMhSXXgTtUTKr6mx5","查詢"
"1103","嘉泥","113/09/04","14:00","線上法說會","113年第二季公司營運狀況","110320240904M001.pdf","110320240904E001.pdf","https://www.chcgroup.com.tw/%e6%af%8f%e5%ad%a3%e7%87%9f%e9%81%8b-2024/",法說會影音連結資訊:https://www.youtube.com/watch?v=n_mB10_G844 ,"線上法說會報名網址：https://forms.gle/MaLdYbCLT9UjwrHaA","查詢"
"1103","嘉泥","113/12/19","14:00","線上法說會","113年第三季公司營運狀況","110320241219M001.pdf","110320241219E001.pdf","https://www.chcgroup.com.tw/%e6%af%8f%e5%ad%a3%e7%87%9f%e9%81%8b-2024/",法說會影音連結資訊:https://www.youtube.com/watch?v=xYmpkApRcAQ (請輸入網址名稱(註)):未輸 ,"線上法說會報名網址：https://forms.gle/tGfZ6TikMpM4siGy6","查詢"
