"公司代號","公司名稱","召開法人說明會日期","召開法人說明會時間","召開法人說明會地點","法人說明會擇要訊息","法人說明會簡報內容-中文","法人說明會簡報內容-英文","公司網站是否有提供法人說明會相關資訊","影音連結資訊","其他應敘明事項","歷年法人說明會"
"1240","茂生農經","115/03/23","14:30","兆豐證券大樓13樓會議廳(台北市忠孝東路二段95號)","本公司受邀參加兆豐證券舉辦之法人說會，會中將說明本公司營運成果及未來展望。","124020260323M002.pdf","124020260323E002.pdf","",中文影音檔網址:1240_17_20260323_ch.mp4 ,"完整財務業務資訊請至公開資訊觀測站之法人說明會一覽表或法說會項目下查閱。","查詢"
"1294","漢田生技","115/04/14","09:00","新加坡Fullerton Hotel","本公司受邀參加115年4月14日至115年4月16日由寬量國際主辦之「19th QIC CEO Week」，說明本公司之營運概況、財務及業務相關資訊。","129420260413M001.pdf","129420260413E001.pdf","https://www.htbios.com/investors","","無","查詢"
"1580","新麥","115/05/29","14:00","櫃買中心11樓多功能資訊媒體區(地址:台北市中正區羅斯福路二段100號11樓)","本公司受邀參加財團法人中華民國證券櫃檯買賣中心所舉辦之「櫃買市場業績發表會」，說明本公司之營運概況及財務業務相關資訊。","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","https://www.sinmag.com.tw/msg/message-法人說明會-274.html",法說會影音連結資訊:未輸 ,"無","查詢"
"1584","精剛","115/04/22","14:30","線上法說會","本公司受邀參加凱基證券舉辦之線上法人說明會，報告本公司營運狀況。","158420260421M001.pdf","158420260421E001.pdf","https://www.s-tech.com.tw/zh-tw/a4-694-2730/%E6%B3%95%E4%BA%BA%E8%AA%AA%E6%98%8E%E6%9C%83.html",中文影音檔網址:1584_14_20260422_ch.mp4 ,"無","查詢"
"1777","生泰","115/05/15","16:00","線上法說會","本公司受邀參加元大證券舉辦之線上法說會，報告本公司營運狀況。","177720260515M001.pdf","177720260515E001.pdf","https://www.syn-tech.tw/",中文影音檔網址:1777_15_20260515_ch.mp4 ,"無。","查詢"
"1799","易威","115/04/16","14:30","富邦人壽大樓國際會議中心C廳(台北市敦化南路1段108號B2)","本公司營運近況及未來展望說明","179920260416M002.pdf","179920260416E002.pdf","https://www.easywellbio.com/zh-tw/activity_new.php",中文影音檔網址:1799_13_20260416_ch.mp4 ,"無","查詢"
"2035","唐榮公司","115/05/12","14:00","受群益證券投資顧問股份有限公司邀請召開線上法人說明會","說明114年全年及本(115)年第一季公司營運概況與未來展望","203520260512M001.pdf","203520260512E001.pdf","https://www.tangeng.com.tw/Fin_Pst",法說會影音連結資訊:https://www.tangeng.com.tw/Fin_Pst?Type=Video ,"無","查詢"
"2643","捷迅","115/03/05","14:30","宏泰金融大樓11樓(台北市松山區民生東路三段156號11樓)","2025年第4季財務業務狀況、產業發展及未來發展計劃","264320260305M001.pdf","264320260305E001.pdf","http://www.soonest.com/",法說會影音連結資訊:https://www.youtube.com/watch?v=f4uqGvL9Jc8 ,"(02)8789-8888 劉小姐 分機：5142","查詢"
"2718","全心投控","115/03/20","15:00","本公司受邀參加元大證券舉辦之線上法說會","說明114年第四季公司營運狀況","271820260320M002.pdf","271820260320E002.pdf","https://www.allmindholdings.com.tw/zh-TW",中文影音檔網址:2718_11_20260320_ch.mp4 ,"無","查詢"
"2719","燦星旅","115/03/24","14:30","Webex線上會議","本公司受邀參加康和證券所舉辦之法說會。","271920260324M001.pdf","271920260324E001.pdf","www.startravel.com.tw",中文影音檔網址:2719_10_20260324_ch.mp4 ,"無","查詢"
"2732","六角","115/03/25","14:30","凱基證券(台北市重慶南路一段2號12樓)","本公司受邀參加凱基證券於115年3月25日舉辦之法人說明會，說明營運概況、財務及業務相關資訊。","273220260324M001.pdf","273220260324E001.pdf","",中文影音檔網址:2732_31_20260325_ch.mp4 ,"法人說明會開會前會將相關簡報資料輸入公開資訊觀測站。","查詢"
"2755","揚秦","115/03/24","14:30","台開大樓19樓1901會議室（台北市重慶南路一段2號）","本公司受邀參加永豐金證券舉辦之法人說明會，說明本公司之營運狀況和未來展望。","275520260324M001.pdf","275520260324E001.pdf","https://www.youngqin.com.tw//index.php?code=list&amp;flag=detail&amp;ids=879&amp;article_id=6516",法說會影音連結資訊:https://www.youngqin.com.tw//index.php?code=list&flag=detail&ids=879&article_id=6516 ,"無","查詢"
"2755","揚秦","115/05/28","14:30","統一證券集團大樓1302 會議室（台北市松山區東興路8號13 樓）","本公司受邀參加統一證券舉辦之法人說明會，說明本公司之營運狀況和未來展望。","內容檔案於當日會後公告於公開資訊觀測站","內容檔案於當日會後公告於公開資訊觀測站","https://www.youngqin.com.tw//index.php?code=list&amp;flag=detail&amp;ids=879&amp;article_id=6612",法說會影音連結資訊:未輸 ,"無","查詢"
"2926","誠品生活","115/02/26","14:00","線上法人說明會","本公司受邀參加德信證券舉辦之法人說明會，說明產業狀況與本公司經營績效等。","292620260225M001.pdf","292620260225E001.pdf","http://www.eslitespectrum.com.tw/Investors/CorporationExplain.aspx?s=CorporationExplain",中文影音檔網址:2926_39_20260226_ch.mp4 ,"法說會簡報依規定揭露於「公開資訊觀測站」。","查詢"
"2947","振宇五金","115/03/17","14:30","線上會議","本公司受邀參加元大證券舉辦之法人座談會議，說明本公司財務及業務相關資訊。","294720260317M001.pdf","294720260317E001.pdf","https://www.ald.com.tw/investors-inner/legal-person-briefing/",中文影音檔網址:2947_12_20260317_ch.mp4 ,"會議簡報等資料將依規定於期限前揭露於公開資訊觀測站。","查詢"
"2948","寶陞","115/04/23","14:00","線上法說會","本公司受邀參加台新證券舉辦之線上法人說明會","294820260423M001.pdf","294820260423E001.pdf","",中文影音檔網址:2948_3_20260423_ch.mp4 ,"無。","查詢"
"2949","欣新網","115/03/18","14:30","台北市中山區建國北路一段96號13樓【台證大樓13F-台北廳】","(1)本公司受邀參加台新證券舉辦之法人說明會，說明本公司營運成果及未來展望等。
(2)欲參加者請利用以下連結報名：https://reurl.cc/yOn25y","294920260318M001.pdf","294920260318E001.pdf","https://www.hhgalaxy.com/ir/investor/",法說會影音連結資訊:https://drive.google.com/file/d/1tOJ1vigEu_C1owOOxdoc03iWOFMREO6L/view?usp=drive_link ,"無","查詢"
"3081","聯亞","115/03/09","14:00","台北101大樓88樓SPACE 88會議廳","本公司受邀參加Morgan Stanley Titans Tech Trip 2026，說明本公司之營運概況。","308120260302M001.pdf","308120260302E001.pdf","","","無","查詢"
"3081","聯亞","115/03/19","11:00","台北君悅酒店(台北市信義區松壽路2號)","本公司受邀參加BofA Securities 2026 Asia Tech Conference，說明本公司之營運概況。","308120260311M001.pdf","308120260311E001.pdf","","","無","查詢"
"3081","聯亞","115/01/28","14:00","線上會議","本公司受邀參加元大證券所舉辦之線上法人說明會，說明本公司2025年第4季營運概況。法說會網址: https://yuanta-cbd.webex.com/yuanta-cbd/j.php?MTID=mf9f5b5ab057621d05560bd87a947c3bf，會議號: 2516 066 2308；密碼: 3081；本會議將以中文進行。","308120260128M001.pdf","308120260128E001.pdf","",法說會影音連結資訊:https://www.lmoc.com.tw/20260128video.html ,"無","查詢"
