"公司代號","公司名稱","召開法人說明會日期","召開法人說明會時間","召開法人說明會地點","法人說明會擇要訊息","法人說明會簡報內容-中文","法人說明會簡報內容-英文","公司網站是否有提供法人說明會相關資訊","影音連結資訊","其他應敘明事項","歷年法人說明會"
"1240","茂生農經","111/12/20","14:30","線上法人說明會","本公司受邀參加中國信託綜合證券舉辦之線上法人說明會","124020221220M003.pdf","124020221220E003.pdf","","","無","查詢"
"1259","安心","111/12/23","14:30","採線上會議形式進行。","本公司受邀參加凱基證券舉辦之「線上法人說明會」，向投資人說明本公司產業狀況及發展趨勢。","125920221223M001.pdf","125920221223E001.pdf","https://www.mos.com.tw/invest/basicData.html","","無","查詢"
"1259","安心","111/09/22","14:30","採線上會議形式進行","本公司受邀參加凱基證券舉辦之「線上法人說明會」，向投資人說明本公司產業狀況及發展趨勢。","125920220922M001.pdf","125920220922E001.pdf","https://www.mos.com.tw/invest/basicData.html","","無","查詢"
"1268","漢來美食","111/12/15","14:30","線上法說會","本公司受邀參加由凱基證券舉辦之線上法人說明會，說明截至111年前三季之營運概況、財務概況及未來展望。","126820221215M001.pdf","126820221215E001.pdf","https://www.hilai-foods.com/stakeholders#96","","無","查詢"
"1294","漢田生技","111/09/22","14:30","中國信託金融園區B棟13樓1302會議室(台北市南港區經貿二路188號13樓)","本公司受邀參加中國信託綜合證券舉辦之興櫃前法人說明會，說明公司營運概況及未來展望。","129420220921M001.pdf","129420220921E001.pdf","","","欲參加者請洽中信謝小姐(02)6639-2129或mail：cts010@ctbcsec.com","查詢"
"1336","台翰","111/08/19","14:00","線上法人說明會","本公司受邀參加凱基證券舉辦之線上法說會，說明公司產業及營運概況","133620220818M001.pdf","133620220818E001.pdf","http://www.thpt.com.tw","","無","查詢"
"1565","精華","111/12/02","16:00","線上法說會","本公司受邀參加花旗銀行舉辦之「Taiwan Corporate Day」法說會","156520221202M001.pdf","156520221202E001.pdf","https://www.stshine.com.tw/chinese/p6-1b.asp","","法說會簡報將於當日會後上傳公開資訊觀測站及本公司網站。","查詢"
"1569","濱川","111/12/26","14:00","高雄市前鎮區中山二路2號九樓之一(大眾財經大樓)","本公司業務及財務相關資訊說明","156920221226M001.pdf","156920221226E001.pdf","","","無","查詢"
"1570","力肯","111/12/20","15:30","線上法說會","本公司受邀參加元富證券法人說明會，說明本公司營運概況。","157020221220M001.pdf","157020221220E001.pdf","","","無","查詢"
"1586","和勤","111/08/26","14:00","線上法說會","本公司受邀參加華南永昌證券舉辦之線上法說會，說明本公司營運概況及未來展望。","158620220826M001.pdf","158620220826E001.pdf","","","無","查詢"
"1586","和勤","111/04/19","14:00","線上法說會","本公司受邀參加永豐金證券舉辦之線上法說會，說明本公司營運概況及未來展望。","158620220419M001.pdf","158620220419E001.pdf","","","無","查詢"
"1591","駿吉-KY","111/10/14","14:30","報名請洽玉山證券 TEL:02-55561313分機6198","玉山證券所舉辦之「線上法人說明會」，進行公司營運介紹及說明","159120221014M001.pptx","159120221014E001.pptx","",同步收看網址：:https://allenlo.my.webex.com/allenlo.my/j.php?MTID=m9751d7c62e4f36a40d486b4a6754a4f7 ,"完整財務業務資訊請至公開資訊觀測站之法人說明會一覽表或法說會項目下查閱。","查詢"
"1593","祺驊","111/12/29","14:30","集思台大會議中心(台北市羅斯福路四段85號B1)","本公司受邀參加玉山證券所舉辦之法說會，說明本公司之營運概況、未來展望及財務業務相關資訊。","159320221229M001.pdf","159320221229E001.pdf","http://www.chihua.com.tw/zh-tw/financial/?mode=article&amp;id=6&amp;active=2","","簡報內容於當日會後，公告於公開資訊觀測站","查詢"
"1595","川寶","111/11/09","14:30","https://forms.gle/Bx78Q9wreAhJF9tX7","本公司受邀參加群益金鼎證券舉辦之法人說明會，說明本公司營運成果及未來展望","159520221109M001.pptx","159520221109E001.pptx","http://www.cbtech.com.tw/tw/investor_3_4.php",中文影音檔網址:1595_7_20221109_ch.mp4 ,"法說會資料將依規定於會後上傳。","查詢"
"1599","宏佳騰","111/12/23","14:30","線上法說會","本公司受邀參加統一證券舉辦之線上法說會","159920221223M001.pdf","159920221223E001.pdf","https://www.aeonmotor.com.tw/pages/shareholder","","無","查詢"
"1777","生泰","111/11/09","15:00","線上法說會","本公司受邀參加元大證券舉辦之產業座談會，報告本公司營運狀況。","177720221109M001.pdf","177720221109E001.pdf","www.syn-tech.com.tw","","無。","查詢"
