"公司代號","公司名稱","召開法人說明會日期","召開法人說明會時間","召開法人說明會地點","法人說明會擇要訊息","法人說明會簡報內容-中文","法人說明會簡報內容-英文","公司網站是否有提供法人說明會相關資訊","影音連結資訊","其他應敘明事項","歷年法人說明會"
"1240","茂生農經","113/04/23","14:30","國票綜合證券-301會議室(台北市中山區樂群三路128號3樓)","本公司受邀參加國票綜合證券舉辦之法人說明會，說明公司目前營運及未來展望。","124020240423M002.pdf","124020240423E002.pdf","",法說會影音連結資訊:https://drive.google.com/drive/folders/1IR459uCiNU0riaMM4aKdMRm11uvczQN3 ,"無","查詢"
"1240","茂生農經","113/10/21","14:30","台北市長安東路一段35號2樓(第一金證券)","本公司受邀參加第一金證券舉辦之法人說明會，報告本公司營運狀況。","124020241021M001.pdf","124020241021E001.pdf","",中文影音檔網址:1240_13_20241021_ch.MP4 ,"無。完整相關資訊請至公開資訊觀測站之法人說明會一覽表或法說會項目下查閱。","查詢"
"1240","茂生農經","113/10/21","14:30","台北市長安東路一段35號2樓(第一金證券)","本公司受邀參加第一金證券舉辦之法人說明會，報告本公司營運狀況。","124020241021M002.pdf","124020241021E002.pdf","",法說會影音連結資訊:https://youtu.be/rCKtXTaRSAs ,"無。","查詢"
"1259","安心","113/09/24","14:30","採線上會議形式進行","本公司受邀參加凱基證券舉辦之「線上法人說明會」，向投
資人說明本公司產業狀況及發展趨勢。","125920240924M001.pdf","125920240924E001.pdf","https://www.mos.com.tw/invest/mops.aspx",中文影音檔網址:1259_8_20240924_ch.mp4 ,"無","查詢"
"1259","安心","113/12/25","14:30","採線上會議形式進行","本公司受邀參加凱基證券舉辦之「線上法人說明會」，向投資人說明本公司產業狀況及發展趨勢","125920241225M001.pdf","125920241225E001.pdf","https://www.mos.com.tw/invest/mops.aspx",中文影音檔網址:1259_9_20241225_ch.mp4 ,"無","查詢"
"1264","德麥","113/12/05","14:30","富邦南京大樓5樓(台北市南京東路二段111號5樓)","本公司受邀參加富邦綜合證券(股)公司所舉辦之法人說明會，說明113年前三季營運報告及未來展望","126420241205M001.pdf","126420241205E001.pdf","http://www.tehmag.com.tw/investors.php?NO=1&amp;sNO=1",法說會影音連結資訊:https://www.youtube.com/watch?v=WUv3xlYHlRU ,"法人說明會當日會將相關簡報資料輸入公開資訊觀測站","查詢"
"1264","德麥","113/04/09","16:00","櫃買中心11樓多功能資訊媒體區(台北市中正區羅斯福路二段100號11樓)","本公司受邀參加財團法人中華民國證券櫃檯買賣中心所舉辦之『櫃買市場業績發表會』，說明112年度營運報告及未來展望","126420240409M001.pdf","126420240409E001.pdf","http://www.tehmag.com.tw/investors.php?NO=1&amp;sNO=1",法說會影音連結資訊:https://vimeo.com/932404018 ,"法人說明會當日會將相關簡報資料輸入公開資訊觀測站","查詢"
"1294","漢田生技","113/08/28","14:30","台北君悅酒店3F凱悅廳一區（台北市信義區松壽路2號）","本次上櫃前業績發表會將由公司經營團隊說明產業發展、財務業務狀況、未來風險暨財團法人中華民國證券櫃檯買賣中心上櫃審議委員會要求本公司於公開說明書補充揭露事項。","129420240828M001.pdf","129420240828E001.pdf","https://www.htbios.com/","","簡報資料將依規定公告於公開資訊觀測站","查詢"
"1295","生合","113/05/28","14:00","櫃買中心多功能資訊媒體區（台北市羅斯福路二段                      100號11樓）","本公司受邀參加財團法人中華民國證券櫃檯買賣中心舉辦之「興櫃公司業績說明會」，說明本公司之營運概況、財務及業務相關資訊。","129520240528M002.pdf","129520240528E002.pdf","","","無。","查詢"
"1295","生合","113/08/29","14:00","高雄市前鎮區中山二路2號九樓之一會議室(大眾財經大樓)","本公司受邀參加台新證券舉辦之法人說明會，說明本公司營運概況、財務及業務相關資訊。","129520240828M002.pdf","129520240828E002.pdf","","","無","查詢"
"1336","台翰","113/09/11","14:30","台北市中正區忠孝東路一段12號(喜來登大飯店)","受第一金證券邀請","133620240911M001.pdf","133620240911E001.pdf","https://www.thpt.com.tw/investor_conference/",中文影音檔網址:1336_4_20240911_ch.mp4 ,"無","查詢"
"1565","精華","113/11/20","15:00","櫃買中心11樓多功能資訊媒體區
(地址:台北市中正區羅斯福路二段100號11樓)","公告本公司受邀參加櫃買中心舉辦之113年第4次（113Q3財報）法說會","156520241120M001.pdf","156520241120E001.pdf","https://www.stshine.com.tw/investor-relations/shareholder-service/dhamma-talks/",法說會影音連結資訊:https://vimeo.com/1031443934 ,"法說會簡報將於當日會後上傳公開資訊觀測站及本公司網站。","查詢"
"1569","濱川","113/12/24","14:00","高雄市前鎮區中山二路2號九樓之一(大眾財經大樓)","本公司業務及財務相關資訊","156920241224M001.pdf","156920241224E001.pdf","",中文影音檔網址:1569_3_20241224_ch.MP4 ,"無","查詢"
"1580","新麥","113/11/20","16:00","櫃買中心11樓多功能資訊媒體區(地址:台北市中正區羅斯福路二段100號11樓)","本公司受邀參加財團法人中華民國證券櫃檯買賣中心所舉辦之「櫃買市場業績發表會」，說明本公司之營運概況及財務業務相關資訊。","158020241120M001.pdf","158020241120E001.pdf","https://www.sinmag.com.tw/msg/message-法人說明會-274.html",法說會影音連結資訊:https://www.tpex.org.tw/zh-tw/about/company/media/investor-conference.html ,"無","查詢"
"1580","新麥","113/08/12","14:30","富邦南京大樓7樓(地址:台北市南京東路2段111號7樓)","本公司受邀參加富邦證券所舉辦之法人說明會，說明本公司營運成果與未來展望。","158020240812M001.pdf","158020240812E001.pdf","http://www.sinmag.com.tw",中文影音檔網址:1580_40_20240812_ch.mp4 ,"無","查詢"
"1584","精剛","113/08/14","14:30","線上法說會","本公司受邀參加凱基證券舉辦之線上法人說明會，報告本公司營運狀況。","158420240814M001.pdf","158420240814E001.pdf","http://www.s-tech.com.tw/zh-tw/a4-694-2730/%E6%B3%95%E4%BA%BA%E8%AA%AA%E6%98%8E%E6%9C%83.html",中文影音檔網址:1584_11_20240814_ch.mp4 ,"無","查詢"
