"公司代號","公司名稱","召開法人說明會日期","召開法人說明會時間","召開法人說明會地點","法人說明會擇要訊息","法人說明會簡報內容-中文","法人說明會簡報內容-英文","公司網站是否有提供法人說明會相關資訊","影音連結資訊","其他應敘明事項","歷年法人說明會"
"1240","茂生農經","112/11/13","14:30","台北市長安東路一段35號2樓(第一金證券)","本公司受邀參加第一金證券舉辦之法人說明會，報告本公司營運狀況。","124020231113M002.pdf","124020231113E002.pdf","",中文影音檔網址:1240_5_20231113_ch.MP4 ,"無","查詢"
"1259","安心","112/12/29","14:30","採線上會議形式進行","本公司受邀參加凱基證券舉辦之「線上法人說明會」，向投資人說明本公司產業狀況及發展趨勢。","125920231229M001.pdf","125920231229E001.pdf","https://www.mos.com.tw/invest/mops.aspx",中文影音檔網址:1259_7_20231229_ch.mp4 ,"無","查詢"
"1259","安心","112/09/25","14:30","採線上會議形式進行","本公司受邀參加凱基證券舉辦之「線上法人說明會」，向投資人說明本公司產業狀況及發展趨勢。","125920230925M001.pdf","125920230925E001.pdf","https://www.mos.com.tw/invest/mops.aspx",中文影音檔網址:1259_6_20230925_ch.mp4 ,"無","查詢"
"1264","德麥","112/04/17","14:00","櫃買中心11樓多功能資訊媒體區(台北市中正區羅斯福路二段100號11樓)","本公司受邀參加財團法人中華民國證券櫃檯買賣中心所舉辦之『櫃買市場業績發表會』，說明111年度營運報告及未來展望","126420230417M001.pdf","126420230417E001.pdf","http://www.tehmag.com.tw/investors.php?NO=1&amp;sNO=1",法說會影音連結資訊:https://www.tpex.org.tw/web/about/news/media/media_gallery.php?l=zh-tw ,"法人說明會當日會將相關簡報資料輸入公開資訊觀測站","查詢"
"1264","德麥","112/11/30","15:40","台北市復興北路99號6樓(&#29319;亞會議中心6樓B廳)","本公司受邀參加富邦證券所舉辦之新麥、三能-KY、德麥『聯合法人說明會』，說明本公司112年前三季營運成果與未來展望。","126420231129M001.pdf","126420231129E001.pdf","http://www.tehmag.com.tw/investors.php?NO=1&amp;sNO=1","","法人說明會當日會將相關簡報資料輸入公開資訊觀測站","查詢"
"1295","生合","112/12/05","14:30","台北市建國北路一段96號B1會議室","本公司受邀參加台新證券舉辦之興櫃前法人說明會，說明本公司概況","129520231204M001.pdf","129520231204E001.pdf","","","無","查詢"
"1336","台翰","112/11/24","15:30","台北市松山區南京東路五段188號15F","本公司受邀參加國票綜合證券舉辦之法說會，說明公司產業及營運概況","133620231124M001.pdf","133620231124E001.pdf","https://www.thpt.com.tw/investor_conference/",中文影音檔網址:1336_3_20231124_ch.MP4 ,"無","查詢"
"1565","精華","112/06/12","15:00","線上法說","本公司受邀參加由臺灣證券交易所、台灣董事學會及安擘諮詢 (IPR Advisors) 共同舉辦的外資論壇 Foreign Investment Forum 線上法說會","156520230612M001.pptx","156520230612E001.pptx","https://www.stshine.com.tw/chinese/p6-1b.asp","","法說會簡報將於當日會後上傳公開資訊觀測站及本公司網站。","查詢"
"1569","濱川","112/12/21","14:00","高雄市前鎮區中山二路2號九樓之一(大眾財經大樓)","本公司業務及財務相關資訊","156920231221M001.pdf","156920231221E001.pdf","",中文影音檔網址:1569_2_20231221_ch.MP4 ,"無","查詢"
"1580","新麥","112/04/13","16:00","櫃買中心11樓多功能資訊媒體區(地址:台北市羅斯福路二段100號11樓)","本公司受邀參加財團法人中華民國證券櫃檯買賣中心所舉辦之「櫃買市場業績發表會」，說明本公司之營運概況及財務業務相關資訊。","158020230413M001.pdf","158020230413E001.pdf","http://www.sinmag.com.tw",法說會影音連結資訊:https://www.tpex.org.tw/web/about/news/media/media_gallery.php?l=zh-tw ,"無","查詢"
"1580","新麥","112/11/30","14:50","&#29319;亞會議中心6樓B廳(台北市復興北路99號6樓)","本公司受邀參加富邦證券所舉辦之聯合法人說明會，說明本公司營運成果與未來展望。","158020231129M001.pdf","158020231129E001.pdf","http://www.sinmag.com.tw","","報名連結: https://reurl.cc/DoQmpj","查詢"
"1584","精剛","112/04/11","14:30","線上法說會","本公司受邀參加凱基證券舉辦之線上法人說明會，報告本公司營運狀況。","158420230411M001.pdf","158420230411E001.pdf","http://www.s-tech.com.tw/zh-tw/a4-694-2730/%E6%B3%95%E4%BA%BA%E8%AA%AA%E6%98%8E%E6%9C%83.html",中文影音檔網址:1584_8_20230411_ch.mp4 ,"無","查詢"
"1584","精剛","112/11/14","14:30","線上法說會","本公司受邀參加凱基證券舉辦之線上法人說明會，報告本公司營運狀況。","158420231113M001.pdf","158420231113E001.pdf","http://www.s-tech.com.tw/zh-tw/a4-694-2730/%E6%B3%95%E4%BA%BA%E8%AA%AA%E6%98%8E%E6%9C%83.html",中文影音檔網址:1584_9_20231114_ch.mp4 ,"無","查詢"
"1586","和勤","112/03/27","14:30","德信證券
台北市中正區新生南路一段50號3樓(世界貿易大樓3樓)","本公司受邀參加德信證券舉辦之實體法說會，說明本公司營運概況及未來展望。","158620230327M001.pdf","158620230327E001.pdf","","","無","查詢"
"1586","和勤","112/11/27","14:30","福邦證券 台北市忠孝西路一段6號7樓","本公司受邀參加福邦證券舉辦之實體法說會，說明本公司營運概況及未來展望。","158620231127M001.pdf","158620231127E001.pdf","",中文影音檔網址:1586_13_20231127_ch.MP4 ,"無","查詢"
