"公司代號","公司名稱","召開法人說明會日期","召開法人說明會時間","召開法人說明會地點","法人說明會擇要訊息","法人說明會簡報內容-中文","法人說明會簡報內容-英文","公司網站是否有提供法人說明會相關資訊","影音連結資訊","其他應敘明事項","歷年法人說明會"
"1240","茂生農經","110/03/16","14:30","台北兆豐證券大樓(台北市中正區忠孝東路二段95號13樓)","本公司受邀參加兆豐證券舉辦之法人說明會","124020210316M001.pdf","124020210316E001.pdf","https://www.morn-sun.com.tw  最近消息","","無","查詢"
"1240","茂生農經","110/11/11","14:30","本公司受邀參加第一金證券舉辦之&quot;線上&quot;法人說明會","https://www.surveycake.com/s/7OpaZ","124020211111M001.pdf","124020211111E001.pdf","","","無","查詢"
"1259","安心","110/09/28","15:00","採線上會議形式進行","本公司受邀參加凱基證券舉辦之「線上法人說明會」，向投資人說明本公司產業狀況及發展趨勢。","125920210928M001.pdf","125920210928E001.pdf","https://www.mos.com.tw/invest/basicData.html","","無","查詢"
"1259","安心","110/12/30","14:30","採線上會議形式進行","本公司受邀參加凱基證券舉辦之「線上法人說明會」，向投資人說明本公司產業狀況及發展趨勢。","125920211230M001.pdf","125920211230E001.pdf","https://www.mos.com.tw/invest/basicData.html","","無","查詢"
"1565","精華","110/11/10","14:30","線上法說會","公告本公司受邀參加元富證券舉辦之「2021年11月台股企業日」","156520211110M001.pdf","156520211110E001.pdf","https://www.stshine.com.tw/chinese/p6-1b.asp","","法說會簡報將於當日會後上傳公開資訊觀測站及本公司網站。","查詢"
"1580","新麥","110/09/14","15:45","線上會議","公司簡介與營運狀況說明","158020210914M001.pdf","158020210914E001.pdf","https://www.sinmag.com.tw/","","無","查詢"
"1580","新麥","110/04/09","15:00","凱基證券總部大樓(台北市明水路700號1樓)","說明本公司營運概況及財務業務相關資訊","158020210409M001.pdf","158020210409E001.pdf","http://www.sinmag.com.tw","","無","查詢"
"1584","精剛","110/11/30","14:30","台北市信義區松壽路2號(台北君悅酒店3樓鵲迎廳)","本公司受兆豐證券邀請舉辦法人說明會，報告公司營運成果及未來展望，期望藉此活動讓投資先進能暸解公司之競爭利基及未來發展計劃。","158420211130M001.pdf","158420211130E001.pdf","http://www.s-tech.com.tw/zh-tw/a4-694-2730/%E6%B3%95%E4%BA%BA%E8%AA%AA%E6%98%8E%E6%9C%83.html","","因疫情關係，請於會議進行時全程配戴口罩，以維護個人健康。","查詢"
"1584","精剛","110/11/16","14:30","線上法說會。","本公司受邀參加元大證券舉辦之線上法人說明會，報告本公司營運狀況。","158420211116M001.pdf","158420211116E001.pdf","http://www.s-tech.com.tw/zh-tw/a4-694-2730/%E6%B3%95%E4%BA%BA%E8%AA%AA%E6%98%8E%E6%9C%83.html","","無","查詢"
"1586","和勤","110/08/26","14:00","線上法說會","本公司受邀參加日盛證券舉辦之線上法說會，說明本公司營運概況及未來展望。","158620210826M001.pdf","158620210826E001.pdf","","","無","查詢"
"1586","和勤","110/06/03","14:30","線上法說會","本公司受邀參加富邦證券舉辦之線上法說會，說明本公司營運概況及未來展望。","158620210603M001.pdf","158620210603E001.pdf","","","無","查詢"
"1586","和勤","110/10/14","13:30","線上法說會","本公司受邀參加元大證券舉辦之線上法說會，說明本公司營運概況及未來展望。","158620210826M001.pdf","158620210826E001.pdf","","","無","查詢"
"1586","和勤","110/04/08","14:30","線上法說會","本公司受邀參加元富證券舉辦之線上法說會，說明本公司營運概況及未來展望。","158620210408M001.pdf","158620210408E001.pdf","","","無","查詢"
"1586","和勤","110/11/25","14:00","線上法說會","本公司受邀參加統一證券舉辦之線上法說會，說明本公司營運概況及未來展望。","158620211125M001.pdf","158620211125E001.pdf","","","無","查詢"
"1591","駿吉-KY","110/12/16","14:00","報名請洽玉山證券 Tel:5556-1313 分機6198","玉山證券所舉辦之[ 線上法人說明會」，進行公司營運介紹及說明","159120211216M001.pdf","159120211216E001.pdf","","","無","查詢"
"1593","祺驊","110/12/29","14:30","集思台大會議中心(台北市羅斯福路四段85號B1)","本公司受邀參加玉山證券所舉辦之法說會，說明本公司之營運概況、未來展望及財務業務相關資訊。","159320211229M001.pdf","159320211229E001.pdf","http://www.chihua.com.tw","","簡報內容於當日會後，公告於公開資訊觀測站","查詢"
"1777","生泰","110/12/16","15:00","線上法說會","本公司受邀參加元大證券舉辦之產業座談會，報告本公司營運狀營運狀況。","177720211216M001.pdf","177720211216E001.pdf","www.syn-tech.com.tw","","無。","查詢"
"1781","合世","110/11/29","14:00","中信南港金融園區A棟3樓會議室
(地址:台北市南港區經貿二路168號3樓)","本公司受邀參加中國信託證券所舉辦之法說會,說明本公司之營運概況及財務業務相關資訊。","178120211125M002.ppt","178120211125E002.ppt","https://www.healthandlife.com.tw/index_tch.php?action=investor_tch&amp;cid=23","","完整財務業務資訊請至公開資訊觀測站之法人說明會一覽表或法說會項目下查閱。","查詢"
"1784","訊聯","110/08/13","14:00","櫃買中心官網線上直播","受邀參加櫃買中心舉辦線上直播方式之「業績發表會」，說明本公司發展之營運方向及產業最新趨勢。","178420210813M001.pdf","178420210813E001.pdf","https://www.bionetcorp.com/article?ac_id=32&amp;ac_sub_id=35&amp;a_id=39",法說會影音連結資訊:https://vimeo.com/586685470 ,"無","查詢"
"1784","訊聯","110/04/07","14:00","櫃買中心11樓多媒體室(地址: 台北市中正區羅斯福路二段100號11樓)","受邀參加櫃買中心舉辦線上直播方式之「業績發表會」，說明本公司發展之營運方向及產業最新趨勢。","178420210407M001.pdf","178420210407E001.pdf","https://www.bionetcorp.com/article?ac_id=32&amp;ac_sub_id=35&amp;a_id=39","","無","查詢"
"1785","光洋科","110/11/19","14:00","高雄市鹽埕區中正四路274號407室(高雄國際會議中心)","說明本公司營運概況及展望","178520211119M001.pdf","178520211119E001.pdf","http://www.solartech.com.tw/tw/investors.php?Type=activities&amp;KindID=3",中文影音檔網址:1785_29_20211119_ch.mp4 ,"無","查詢"
"1785","光洋科","110/10/22","14:30","台北市中正區中山南路11號6F(張榮發國際會議中心602廳)","本公司受邀參加統一證券舉辦法人說明會，
說明本公司營運概況及展望。","178520211022M001.pdf","178520211022E001.pdf","http://www.solartech.com.tw/tw/investors.php?Type=activities&amp;KindID=3&amp;Year=2021","","無","查詢"
"1788","杏昌","110/11/17","14:00","櫃買中心官網線上直播","本公司受邀參加財團法人中華民國證券櫃檯買賣中心於110年11月17日舉辦之業績發表會，會中本公司將就已公開發佈之財務數字、經營績效等相關資訊進行說明。","178820211116M001.pdf","178820211116E001.pdf","http://www.hiclearance.com.tw/",法說會影音連結資訊:https://vimeo.com/646775366 ,"完整財務業務資訊請至公開資訊觀測站之法人說明會一覽表或法說會項目下查閱。","查詢"
"1799","易威","110/12/17","14:00","採webex線上會議方式","說明公司營運近況及未來展望","179920211217M001.pdf","179920211217E001.pdf","http://www.easywellbio.com/zh-tw/activity_new.php","","報名請e-mail至 王悅敏/宏遠證券 &amp;LT;michelle.wang@honsec.com.tw&gt;","查詢"
"1813","寶利徠","110/11/22","16:00","櫃買中心官網線上直播","受邀參加證券櫃檯買賣中心舉辦之線上直播業績發表會，說明本公司財務及業務相關資訊。","181320211122M001.pdf","181320211122E001.pdf","http://www.gialens.com.tw/",法說會影音連結資訊:https://www.tpex.org.tw/web/about/news/media/media_gallery.php?l=zh-tw ,"相關檔案將於會後公告於公開資訊觀測站","查詢"
"2061","風青","110/12/27","14:30","台北市南港區經貿二路188號13樓1302會議室","公司營運狀況與未來展望","206120211227M001.pdf","206120211227E001.pdf","","","無","查詢"
"2063","世鎧精密","110/08/24","14:00","櫃買中心官網線上直播","受邀參加櫃買中心舉辦線上直播方式之「業績發表會」，說明本公司發展之營運方向及產業最新趨勢。","206320210819M001.pdf","206320210819E001.pdf","https://www.shehkai.com.tw/list/cate-60157.htm",法說會影音連結資訊:https://vimeo.com/591440258 ,"無","查詢"
"2065","世豐","110/08/20","14:00","線上法人說明會","本公司受邀參加富邦證券舉辦之線上法人說明會","206520210820M001.pdf","206520210820E001.pdf","https://www.shehfung.com/index.php?option=module&amp;lang=cht&amp;task=pageinfo&amp;id=347&amp;index=3","","無","查詢"
"2065","世豐","110/09/15","15:30","線上法人說明會","本公司受邀參加國票證券線上投資論壇舉辦之線上法人說明會","206520210915M001.pdf","206520210915E001.pdf","https://www.shehfung.com/index.php?option=module&amp;lang=cht&amp;task=pageinfo&amp;id=347&amp;index=3","","無","查詢"
"2065","世豐","110/03/30","14:00","櫃買中心官網線上直播","本公司受邀參加櫃買中心舉辦「業績發表會」","206520210331M001.pdf","206520210331E001.pdf","https://www.shehfung.com/index.php?option=module&amp;lang=cht&amp;task=pageinfo&amp;id=347&amp;index=3","","無","查詢"
"2221","大甲","110/12/17","15:00","線上","本公司受邀參加中信證券舉辦之線上法人說明會","222120211217M001.pdf","222120211217E001.pdf","https://www.yhmco.com.tw/news/hot-news.php","","無","查詢"
"2235","謚源","110/04/14","15:00","櫃買中心官網線上直播","本公司受邀參加櫃買中心舉辦「業績發表會」","223520210413M001.pdf","223520210413E001.pdf","","","無","查詢"
"2640","大車隊","110/12/23","15:00","台北市中正區新生南路一段50號3樓","本公司受邀參加德信綜合證券舉辦之法人說明會，說明公司營運成果以及未來展望。","264020211223M002.pdf","264020211223E002.pdf","","","無","查詢"
"2643","捷迅","110/08/06","14:30","https://reurl.cc/EnaxM0","2021年第2季財務業務狀況、產業發展及未來發展計劃","264320210818M002.pdf","264320210818E002.pdf","http://www.soonest.com/",法說會影音連結資訊:https://www.youtube.com/watch?v=M-GoLiodgNk ,"活動內容詢問電話：(02) 8789-8888分機5132吳小姐","查詢"
"2643","捷迅","110/03/19","14:30","線上法說會報名網址：https://forms.gle/fmoPsxYmz65hS3Sv7","2020年第4季財務業務狀況、產業發展及未來發展計劃","264320210319M001.pdf","264320210319E001.pdf","http://www.soonest.com/",法說會影音連結資訊:https://www.youtube.com/watch?v=TL55yt3DJGo ,"活動內容詢問電話：(02) 8789-8888分機5132 吳小姐","查詢"
"2643","捷迅","110/05/07","14:30","https://forms.gle/xb3hNBLtyR182pUEA","2021年第1季財務業務狀況、產業發展及未來發展計劃","264320210507M001.pdf","264320210507E001.pdf","http://www.soonest.com/",法說會影音連結資訊:https://www.youtube.com/watch?v=qmu3l4Wh598 ,"活動內容詢問電話：(02) 8789-8888 分機5132 吳小姐","查詢"
"2643","捷迅","110/11/05","14:30","線上法說會  報名網址：https://reurl.cc/kLrV0K","2021年第3季財務業務狀況、產業發展及未來發展計劃","264320211105M001.pdf","264320211105E001.pdf","http://www.soonest.com/",法說會影音連結資訊:https://www.youtube.com/watch?v=FAA82rRKg4g ,"活動內容詢問電話：(02) 8789-8888 分機5132 吳小姐","查詢"
"2724","藝舍-KY","110/11/29","14:00","台南市中西區民生路二段76號8樓","公司簡介、所屬產業概況、營運成果及未來展望說明","272420211126M001.pdf","272420211126E001.pdf","http://www.fxhotelsgroup.com/tw/investors.aspx",法說會影音連結資訊:https://youtu.be/uKd3qnXZeTA ,"無","查詢"
"2726","雅茗-KY","110/11/22","14:00","台北市內湖區新湖一路77號6樓","受邀參加國泰證券主辦之法人說明會","272620211122M001.pdf","272620211122E001.pdf","","","無","查詢"
"2729","瓦城","110/04/28","15:30","集思北科大會議中心
(地址:台北市大安區忠孝東路三段1號-億光大樓2樓)","本公司受邀參加凱基證券舉辦之「2021 MIT x 現金壓力測試主題式論壇」","272920210428M001.pdf","272920210428E001.pdf","http://www.ttfb.com/index.php?category=3&amp;subject=2&amp;year=2021&amp;page=1","","內容檔案於非交易時間公告於公開資訊觀測站","查詢"
"2732","六角","110/04/09","09:10","線上法說會（台灣）","本公司受邀參加由臺灣證券交易所及寬量國際共同主辦之線上法說會「9th Taiwan CEO Week on Air」，說明本公司之營運概況、財務及業務相關資訊。","273220210408M001.pdf","273220210408E001.pdf","","","完整財務業務資訊請至公開資訊觀測站之法人說明會一覽表或法說會項目下查閱。","查詢"
"2732","六角","110/04/12","17:00","線上法說會（台灣）","本公司受邀參加由臺灣證券交易所及寬量國際共同主辦之線上法說會「9th Taiwan CEO Week on Air」，說明本公司之營運概況、財務及業務相關資訊。","273220210408M001.pdf","273220210408E001.pdf","","","無","查詢"
"2732","六角","110/04/14","14:40","線上法說會（台灣）","本公司受邀參加由臺灣證券交易所及寬量國際共同主辦之線上法說會「9th Taiwan CEO Week on Air」，說明本公司之營運概況、財務及業務相關資訊。","273220210408M001.pdf","273220210408E001.pdf","","","無","查詢"
"2756","聯發國際","110/01/06","14:30","張榮發基金會國際會議中心1002 會議室（台北市中正區中山南路11號）","本公司受邀參加凱基證券舉辦之興櫃前法人說明會，會中為各界先進說明公司未來經營策略及願景。","275620210106M001.pdf","275620210106E001.pdf","","","因應新型冠狀病毒防疫，與會者請全程配戴口罩。","查詢"
"2756","聯發國際","110/12/15","14:30","台北君悅酒店3樓凱悅一區(台北市信義區松壽路2號)","本次上櫃前業績發表會將由本公司經營團隊說明產業發展、財務業務狀況、未來風險、財團法人中華民國證券櫃檯買賣中心董事會暨上櫃審議委員會要求補充揭露事項。","275620220118M001.pdf","275620220118E001.pdf","https://www.1992lianfa.com/news3_detail/166","","無","查詢"
"2924","宏太-KY","110/11/30","14:30","台証金融大樓 首爾會議室 台北市中山區建國北路一段96號12樓","參加者請利用以下連結報名
https://www.surveycake.com/s/300rk","292420211123M001.pptx","292420211123E001.pptx","","","無。","查詢"
"2926","誠品生活","110/09/13","14:00","線上法人說明會","本公司受邀參加兆豐證券舉辦之法人說明會，說明產業狀況與本公司經營績效等。","292620210911M001.pdf","292620210911E001.pdf","http://www.eslitespectrum.com.tw/Investors/CorporationExplain.aspx?s=CorporationExplain","","法說會簡報依規定揭露於「公開資訊觀測站」。","查詢"
"2926","誠品生活","110/12/27","14:00","線上法人說明會","本公司受邀參加兆豐證券舉辦之法人說明會，說明產業狀況與本公司經營績效等。","292620211224M001.pdf","292620211224E001.pdf","eslitespectrum.com.tw/Investors/CorporationExplain.aspx?s=CorporationExplain","","法說會簡報依規定揭露於公開資訊觀測站","查詢"
"2937","集雅社","110/04/28","14:30","第一金證券總公司(台北市長安東路一段22號13樓)","本公司受邀參加第一金證券舉辦之法人說明會","293720210427M001.pdf","293720210427E001.pdf","https://www.gseven.com.tw/legal.php","","無","查詢"
"2941","米斯特","110/10/21","14:30","升級商務暨會議中心(臺北市松江路101號4樓)，業績發表會以實體及線上直播方式併行。","(1)因應新冠肺炎疫情，興櫃前業績發表會以實體及線上直播方式呈現，線上直播敬邀 貴單位觀看。
(2)線上直播作業敬請於 YOUTUBE 頻道搜尋【米斯特國際】
或點選連結網址：https://www.youtube.com/watch?v=da1zswyKqBY，QA提問請 E-Mail至stock@life8.com.tw。
(3)向法人說明本公司營運概況。","294120211020M002.pdf","294120211020E002.pdf","網址: http://www.mister.com.tw","","無","查詢"
"2947","振宇五金","110/08/26","14:30","線上業績發表會","(1)因受新冠肺炎影響，本次業績發表會將以線上直播呈現，敬邀  貴單位觀看。
(2)直播作業敬請至YOUTUBE搜尋【振宇五金】頻道 (https://www.youtube.com/watch?v=M2d9ki6dd40)，QA提問請E-Mail至ir@zhenyu.com.tw。
(3)本次業績發表會將由本公司經營團隊說明產業發展、財務業務狀況、未來風險、財團法人中華民國證券櫃檯買賣中心有價證券董事會暨上櫃審議委員會要求補充揭露事項。","294720210825M001.pdf","294720210825E001.pdf","https://www.ald.com.tw/investors-inner/legal-person-briefing/","","無。","查詢"
"3064","泰偉","110/12/16","14:00","台北市敦化南路二段97號11樓(元富證券11樓教育訓練室)","本公司受邀參加110年12月16日元富證券舉辦之法人說明會，說明本公司營運與展望。","306420211216M001.pptx","306420211216E001.pptx","","","簡報檔將依規定於法人說明會當日結束以前上傳。","查詢"
"3078","僑威","110/04/27","14:30","台北市忠孝東路四段219號5樓(國泰綜合證券忠孝分公司)","本公司受邀參加國泰綜合證券股份有限公司所舉辦之「法人說明會」，會中說明公司之營運概況。","307820210427M001.pdf","307820210427E001.pdf","http://www.cwt.com.tw/","","無","查詢"
"3081","聯亞","110/03/30","10:00","電話會議","本公司受邀參加Morgan Stanley所舉辦之「Virtual Hong Kong Summit」，說明本公司2020年第四季營運概況。","308120210326M001.PDF","308120210326E001.PDF","","","無。","查詢"
"3081","聯亞","110/04/08","14:30","電話會議","本公司受邀參加HSBC Securities (Taiwan)所舉辦之法人說明會，說明本公司2020年第四季營運概況。","308120210406M001.pdf","308120210406E001.pdf","","","無。","查詢"
"3081","聯亞","110/07/28","14:00","電話會議","本公司受邀參加Citi(花旗證券)所舉辦之電話會議，說明本公司2021年第二季營運概況。","308120210728M001.pdf","308120210728E001.pdf","","","電話號碼: +886 2 2162 6306 電話會議密碼: 7907528#，本會議將以中文進行。","查詢"
"3081","聯亞","110/08/31","11:00","電話會議","本公司受邀參加HSBC Securities (Taiwan)所舉辦之「HSBC Taiwan Executive Forum」，說明本公司2021年第二季營運概況。","308120210820M002.pdf","308120210820E002.pdf","","","無。","查詢"
"3081","聯亞","110/08/27","10:00","電話會議","本公司受邀參加花旗環球證券所舉辦之「Asia TMT Day 2021」，說明本公司2021年第二季營運概況。","308120210820M001.pdf","308120210820E001.pdf","","","無。","查詢"
"3081","聯亞","110/03/16","09:00","電話會議","本公司受邀參加BofA Securities所舉辦之「2021 APAC TMT Conference」，說明本公司2020年第四季營運概況。","308120210312M001.PDF","308120210312E001.PDF","","","無。","查詢"
"3081","聯亞","110/02/03","14:00","電話會議","本公司受邀參加Citi(花旗證券)所舉辦之電話會議，說明本公司2020年第四季營運概況。","308120210203M001.pdf","308120210203E001.pdf","","","電話號碼: +886 2 2162 6306 電話會議密碼: 7111003#，本會議將以中文進行。","查詢"
"3081","聯亞","110/02/23","14:00","電話會議","本公司受邀參加J.P. Morgan所舉辦之「Taiwan CEO-CFO Conference 2021」，說明本公司2020年第四季營運概況。","308120210223M001.PDF","308120210223E001.PDF","","","無。","查詢"
"3081","聯亞","110/04/28","14:00","電話會議","本公司受邀參加Citi(花旗證券)所舉辦之電話會議，說明本公司2021年第一季營運概況。","308120210428M001.pdf","308120210428E001.pdf","","","電話號碼: +886 2 2162 6306 電話會議密碼: 7612028#，本會議將以中文進行。","查詢"
"3081","聯亞","110/10/27","14:00","電話會議","本公司受邀參加Citi(花旗證券)所舉辦之電話會議，說明本公司2021年第三季營運概況。","308120211027M001.pdf","308120211027E001.pdf","","","電話號碼: +886 2 2162 6306 電話會議密碼: 7119027#，本會議將以中文進行。","查詢"
"3081","聯亞","110/05/21 至 110/05/24","10:00","電話會議","本公司受邀參加花旗環球證券所舉辦之「Citi Regional Tech Conference 2021 (Virtual)」，說明本公司2021年第一季營運概況。","308120210519M001.pdf","308120210519E001.pdf","","","無。","查詢"
"3083","網龍","110/03/30","14:00","台北市松山區民生東路三段156號11樓（宏泰金融大樓）","本公司受邀參加群益金鼎證券舉辦之法人說明會說明本公司經營績效及營運展望。","308320210330M001.pdf","308320210330E001.pdf","https://www.chinesegamer.net/web/i7.asp","","無","查詢"
"3086","華義*","110/12/28","14:30","台北市內湖區行愛路141巷39號4樓","公司營運概況","308620211228M001.pdf","308620211228E001.pdf","",法說會影音連結資訊:https://youtu.be/C0QCPiNkT0A ,"無","查詢"
"3088","艾訊","110/05/18","14:00","櫃買中心官網線上直播","本公司受邀參加證券櫃檯買賣中心所舉辦之線上直播櫃買市場業績發表會","308820210518M001.pdf","308820210518E001.pdf","https://www.axiomtek.com.tw/Default.aspx?MenuId=AboutUs&amp;ItemId=200&amp;C=財務業務資訊","","無","查詢"
"3088","艾訊","110/11/16","14:30","線上法說會","本公司受邀參加凱基證券所舉辦之線上法人說明會","308820211116M001.pdf","308820211116E001.pdf","http://www.axiomtek.com.tw/Default.aspx?MenuId=AboutUs&amp;ItemId=200&amp;C=財務業務資訊","","無","查詢"
